Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
622,22,1/40,100,2025:03:19 17:07:33
623,22,1/125,400,2025:03:19 17:14:20
624,5,1/100,400,2025:03:19 17:17:02
625,28/5,1/10,400,2025:03:19 17:18:45
626,29,1/15,400,2025:03:19 17:22:07
627,25,1/30,400,2025:03:19 17:23:49
628,25,1/80,400,2025:03:19 17:26:11
629,32,1/125,400,2025:03:19 17:32:32
630,16,1/100,400,2025:03:19 17:38:07
631,9,1/100,400,2025:03:19 17:42:00
632,16,1/125,400,2025:03:19 17:43:16
633,20,1/60,400,2025:03:19 17:44:08
634,20,1/60,400,2025:03:19 17:44:48
635,22,1/160,400,2025:03:19 17:46:47
636,14,1/125,400,2025:03:19 17:47:06
637,14,1/125,400,2025:03:19 17:48:41
638,14,1/125,400,2025:03:19 17:50:07
639,14,1/125,400,2025:03:19 17:51:28
640,22,1/125,400,2025:03:19 17:51:57
641,14,1/125,400,2025:03:19 17:53:03
642,9,1/50,400,2025:03:19 17:54:02
643,10,1/50,400,2025:03:19 17:54:53
644,20,1/50,400,2025:03:25 12:25:46
645,8,1/25,400,2025:03:25 12:27:57
646,8,1/25,400,2025:03:25 12:28:05
647,8,1/25,400,2025:03:25 12:28:12
648,4,1/50,400,2025:03:25 12:28:28
649,4,1/50,400,2025:03:25 12:28:42
650,4,1/50,400,2025:03:25 12:28:48
651,16,1/50,400,2025:03:25 12:30:27
652,16,1/50,400,2025:03:25 12:30:58
653,29,1/160,400,2025:03:25 12:32:03
654,18,1/80,400,2025:03:25 12:32:29
655,28/5,1/80,400,2025:03:25 12:33:14
656,20,1/80,400,2025:03:25 12:34:07
657,18,1/80,400,2025:03:25 12:34:28
658,9/2,1/80,400,2025:03:25 12:34:52
659,9/2,1/80,400,2025:03:25 12:38:58
660,9/2,1/80,400,2025:03:25 12:39:30
661,9/2,1/80,400,2025:03:25 12:40:01
662,9/2,1/80,400,2025:03:25 13:47:27
663,9/2,1/80,400,2025:03:25 13:51:58
664,13,1/125,400,2025:03:25 13:57:28
665,13,1/125,400,2025:03:25 13:58:46
666,71/10,1/50,400,2025:03:25 13:59:24
667,22,1/80,400,2025:03:25 14:00:31
668,9/2,1/250,400,2025:03:25 14:16:34
669,71/10,1/125,400,2025:03:25 14:16:54
670,9,1/125,400,2025:03:25 14:18:18
671,8,1/80,400,2025:03:25 14:18:52
672,20,1/80,400,2025:03:25 14:19:26
673,13,1/160,400,2025:03:25 14:19:55
674,13,1/160,400,2025:03:25 14:21:13
675,22,1/160,400,2025:03:25 14:21:35
676,28/5,1/160,400,2025:03:25 14:22:05
677,28/5,1/160,400,2025:03:25 14:22:10
678,28/5,1/160,400,2025:03:25 14:22:24
679,28/5,1/160,400,2025:03:25 14:25:18
680,28/5,1/160,400,2025:03:25 14:25:26
681,63/10,1/200,400,2025:03:25 14:28:19
682,18,1/50,400,2025:03:25 14:28:43
683,4,1/50,400,2025:03:25 15:22:50
684,4,1/50,400,2025:03:25 15:23:15
685,4,1/50,400,2025:03:25 15:23:33
686,14,1/125,400,2025:03:25 15:24:55
687,18,1/125,400,2025:03:25 15:25:37
688,16,1/125,400,2025:03:25 15:26:19
689,71/10,1/125,400,2025:03:25 15:26:57
690,71/10,1/60,400,2025:03:25 15:28:10
691,8,1/125,400,2025:03:25 15:28:21
692,4,1/50,400,2025:03:25 15:28:52
693,7/2,1/50,400,2025:03:25 15:29:54
694,7/2,1/40,400,2025:03:25 15:31:32
695,7/2,1/40,400,2025:03:25 15:34:18
696,63/10,1/40,400,2025:03:25 15:36:57
697,63/10,1/40,400,2025:03:25 15:40:04
698,63/10,1/40,400,2025:03:25 15:40:25
699,63/10,1/40,400,2025:03:25 15:40:37
700,63/10,1/40,400,2025:03:25 15:41:12
701,63/10,1/40,400,2025:03:25 15:42:21
702,63/10,1/40,400,2025:03:25 15:43:21
703,28/5,1/40,400,2025:03:25 15:43:42
704,4,1/100,400,2025:03:25 15:44:00
705,9/2,1/80,400,2025:03:25 15:47:23
706,16,1/80,400,2025:03:25 15:47:45
707,8,1/80,400,2025:03:25 15:52:00
708,8,1/80,400,2025:03:25 15:53:22
