Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
277,14,1/30,800,2025:03:05 17:27:02
278,14,1/30,800,2025:03:05 17:29:13
279,10,1/30,800,2025:03:05 17:30:56
280,9,1/20,800,2025:03:05 17:31:51
281,32,1/50,800,2025:03:05 17:34:54
282,32,1/50,800,2025:03:05 17:36:43
283,32,1/50,800,2025:03:05 17:38:39
284,32,1/50,800,2025:03:05 17:41:27
285,32,1/200,800,2025:03:05 17:43:07
286,22,1/60,800,2025:03:05 17:46:57
287,36,1/640,800,2025:03:05 17:49:53
288,36,1/4000,800,2025:03:05 17:50:09
289,25,1/320,800,2025:03:05 17:50:23
290,25,1/80,800,2025:03:05 17:52:06
291,10,1/50,800,2025:03:05 17:55:28
292,29,1/160,800,2025:03:05 17:57:34
293,25,1/125,800,2025:03:05 17:57:53
294,25,1/200,800,2025:03:05 17:58:18
295,14,1/100,800,2025:03:05 18:00:16
296,16,1/100,800,2025:03:05 18:00:34
297,16,1/100,800,2025:03:05 18:00:51
298,16,1/100,800,2025:03:05 18:01:56
299,11,1/100,800,2025:03:05 18:03:09
300,18,1/100,800,2025:03:05 18:03:58
301,29,1/100,800,2025:03:05 18:04:28
302,11,1/80,800,2025:03:05 18:07:26
303,11,1/80,800,2025:03:05 18:08:28
304,11,1/80,800,2025:03:05 18:09:26
305,29,1/100,800,2025:03:05 18:10:01
306,22,1/60,800,2025:03:05 18:10:42
307,29,1/200,800,2025:03:05 18:11:50
308,29,1/200,800,2025:03:05 18:12:32
309,29,1/200,800,2025:03:05 18:12:46
310,25,1/160,800,2025:03:05 18:13:24
311,22,1/125,800,2025:03:05 18:15:00
312,22,1/200,800,2025:03:05 18:15:14
313,22,1/200,800,2025:03:05 18:17:01
314,11,1/60,800,2025:03:05 18:17:21
315,11,1/60,800,2025:03:05 18:17:44
316,22,1/100,800,2025:03:05 18:19:50
317,22,1/100,800,2025:03:05 18:20:24
318,22,1/100,800,2025:03:05 18:21:16
319,11,1/60,800,2025:03:05 18:21:55
320,11,1/60,800,2025:03:05 18:22:39
321,18,1/60,800,2025:03:05 18:23:07
322,9,1/25,800,2025:03:05 18:24:26
323,9,1/25,800,2025:03:05 18:24:51
324,14,1/125,800,2025:03:05 18:25:43
325,11,1/60,800,2025:03:05 18:26:13
326,28/5,1/40,800,2025:03:05 18:27:42
327,28/5,1/30,800,2025:03:05 18:28:03
328,28/5,1/30,800,2025:03:05 18:28:31
329,20,1/60,800,2025:03:05 18:29:15
330,18,1/60,800,2025:03:05 18:29:37
331,28/5,1/25,800,2025:03:05 18:31:11
332,8,1/30,800,2025:03:05 18:31:21
333,14,1/30,800,2025:03:05 18:31:40
