Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
745,28/5,1/25,400,2025:04:02 22:35:24
746,28/5,1/10,400,2025:04:02 22:36:02
747,28/5,1/10,400,2025:04:02 22:36:34
748,28/5,1/10,400,2025:04:02 22:37:43
749,28/5,1/10,400,2025:04:02 22:38:05
750,28/5,1/10,400,2025:04:02 22:41:31
751,8,1/10,400,2025:04:02 22:41:43
752,8,1/10,400,2025:04:02 22:42:24
753,71/10,1/10,400,2025:04:02 22:46:39
754,71/10,1/10,400,2025:04:02 22:46:58
755,71/10,1/20,400,2025:04:02 22:54:02
756,71/10,1/20,400,2025:04:02 22:54:14
757,28/5,1/30,400,2025:04:02 22:56:22
758,8,1/30,400,2025:04:02 22:57:08
759,8,1/30,400,2025:04:02 22:58:27
760,8,1/30,400,2025:04:02 23:00:30
761,8,1/30,400,2025:04:02 23:01:14
762,8,1/30,400,2025:04:02 23:02:08
763,8,1/30,400,2025:04:02 23:02:45
764,8,1/30,400,2025:04:02 23:04:46
765,10,1/30,400,2025:04:02 23:05:09
766,10,1/30,400,2025:04:02 23:05:19
767,71/10,1/30,400,2025:04:02 23:05:35
768,71/10,1/30,400,2025:04:02 23:06:24
769,71/10,1/30,400,2025:04:02 23:06:45
770,63/10,1/30,400,2025:04:02 23:07:04
771,63/10,1/30,400,2025:04:02 23:07:20
772,63/10,1/30,400,2025:04:02 23:07:56
773,63/10,1/30,400,2025:04:02 23:08:13
774,63/10,1/30,400,2025:04:02 23:08:44
775,8,1/30,400,2025:04:02 23:08:58
776,8,1/30,400,2025:04:02 23:09:39
777,8,1/30,400,2025:04:02 23:10:05
778,5,1/100,400,2025:04:02 23:10:29
779,5,1/80,400,2025:04:02 23:10:57
780,5,1/80,400,2025:04:02 23:12:38
781,28/5,1/100,400,2025:04:02 23:12:51
782,28/5,1/100,400,2025:04:02 23:13:43
783,28/5,1/100,400,2025:04:02 23:14:18
784,63/10,1/100,400,2025:04:02 23:14:38
785,63/10,1/100,400,2025:04:02 23:16:31
786,63/10,1/100,400,2025:04:02 23:16:47
787,63/10,1/100,400,2025:04:02 23:17:57
788,63/10,1/100,400,2025:04:02 23:18:28
789,63/10,1/100,400,2025:04:02 23:21:07
790,63/10,1/100,400,2025:04:02 23:21:32
791,9,1/100,400,2025:04:02 23:21:45
792,9,1/100,400,2025:04:02 23:22:11
793,9,1/100,400,2025:04:02 23:22:39
794,63/10,1/60,400,2025:04:02 23:26:49
795,63/10,1/60,400,2025:04:02 23:27:12
796,63/10,1/60,400,2025:04:02 23:27:24
797,63/10,1/60,400,2025:04:02 23:27:58
798,63/10,1/60,400,2025:04:02 23:28:25
799,8,1/60,400,2025:04:02 23:30:38
800,8,1/60,400,2025:04:02 23:30:56
801,8,1/60,400,2025:04:02 23:32:47
802,8,1/60,400,2025:04:02 23:33:11
803,63/10,1/60,400,2025:04:02 23:34:41
804,63/10,1/60,400,2025:04:02 23:34:58
805,63/10,1/60,400,2025:04:02 23:35:42
806,63/10,1/60,400,2025:04:02 23:36:25
807,63/10,1/60,400,2025:04:02 23:36:49
808,63/10,1/60,400,2025:04:02 23:37:16
809,63/10,1/60,400,2025:04:02 23:37:34
810,63/10,1/60,400,2025:04:02 23:37:44
811,63/10,1/60,400,2025:04:02 23:37:55
812,63/10,1/60,400,2025:04:02 23:38:36
813,8,1/60,400,2025:04:02 23:38:56
814,8,1/60,400,2025:04:02 23:39:53
815,63/10,1/60,400,2025:04:02 23:40:19
816,63/10,1/60,400,2025:04:02 23:41:51
817,63/10,1/60,400,2025:04:02 23:42:06
818,63/10,1/60,400,2025:04:02 23:42:35
819,5,1/20,400,2025:04:02 23:46:38
820,28/5,1/20,400,2025:04:02 23:46:59
821,28/5,1/20,400,2025:04:02 23:47:34
822,28/5,3/10,400,2025:04:02 23:50:55
