Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
823,28/5,3/10,400,2025:04:02 23:51:15
824,28/5,3/10,400,2025:04:02 23:52:12
825,28/5,3/10,400,2025:04:02 23:52:17
826,28/5,1/2,400,2025:04:02 23:52:31
827,28/5,1/2,400,2025:04:02 23:52:39
828,71/10,1/50,400,2025:04:02 23:55:24
829,71/10,1/50,400,2025:04:02 23:55:41
830,5,1/50,400,2025:04:02 23:58:18
831,5,1/50,400,2025:04:02 23:59:00
832,5,1/50,400,2025:04:02 23:59:19
833,9/2,1/40,400,2025:04:03 00:13:24
834,9/2,1/40,400,2025:04:03 00:13:43
835,9/2,1/40,400,2025:04:03 00:14:24
836,9/2,1/40,400,2025:04:03 00:14:45
837,9/2,1/40,400,2025:04:03 00:15:27
838,9/2,1/40,400,2025:04:03 00:15:51
839,9/2,1/40,400,2025:04:03 00:16:35
840,5,1/40,400,2025:04:03 00:17:17
841,9/2,1/40,400,2025:04:03 00:17:39
842,9/2,1/40,400,2025:04:03 00:18:14
843,9/2,1/40,400,2025:04:03 00:20:06
844,9/2,1/40,400,2025:04:03 00:20:37
845,9/2,1/40,400,2025:04:03 00:20:52
846,9/2,1/40,400,2025:04:03 00:21:06
847,9/2,1/40,400,2025:04:03 00:21:59
848,9/2,1/40,400,2025:04:03 00:23:25
849,9/2,1/40,400,2025:04:03 00:23:42
850,9/2,1/40,400,2025:04:03 00:23:51
851,9/2,1/40,400,2025:04:03 00:24:13
852,9/2,1/40,400,2025:04:03 00:25:09
853,9/2,1/40,400,2025:04:03 00:25:26
854,9/2,1/40,400,2025:04:03 00:25:54
855,28/5,1/40,400,2025:04:03 00:26:08
856,28/5,1/40,400,2025:04:03 00:26:34
857,28/5,1/40,400,2025:04:03 00:27:07
858,28/5,1/40,400,2025:04:03 00:28:03
859,28/5,1/40,400,2025:04:03 00:28:22
860,28/5,1/40,400,2025:04:03 00:29:22
861,28/5,1/40,400,2025:04:03 00:29:31
862,28/5,1/40,400,2025:04:03 00:29:45
863,28/5,1/40,400,2025:04:03 00:29:55
