Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
469,28/5,1/80,400,2025:03:12 18:17:08
470,14,1/80,400,2025:03:12 18:17:27
471,71/10,1/80,400,2025:03:12 18:17:51
472,11,1/80,400,2025:03:12 18:18:20
473,18,1/80,400,2025:03:12 18:18:37
474,9,1/80,400,2025:03:12 18:19:12
475,63/10,1/80,400,2025:03:12 18:19:55
476,18,1/80,400,2025:03:12 18:20:28
477,71/10,1/80,400,2025:03:12 18:20:54
478,71/10,1/80,400,2025:03:12 18:21:40
479,9,1/80,400,2025:03:12 18:21:55
480,22,1/125,400,2025:03:12 18:22:32
481,22,1/125,400,2025:03:12 18:23:02
482,22,1/125,400,2025:03:12 18:23:15
483,28/5,1/125,400,2025:03:12 18:23:24
484,28/5,1/125,400,2025:03:12 18:23:27
485,28/5,1/125,400,2025:03:12 18:23:35
486,28/5,1/125,400,2025:03:12 18:23:52
487,28/5,1/125,400,2025:03:12 18:24:25
488,28/5,1/125,400,2025:03:12 18:24:34
489,28/5,1/125,400,2025:03:12 18:24:52
490,10,1/125,400,2025:03:12 18:25:12
491,28/5,1/50,400,2025:03:12 18:25:33
492,71/10,1/50,400,2025:03:12 18:25:42
493,71/10,1/50,400,2025:03:12 18:25:53
494,29,1/50,400,2025:03:12 18:26:01
495,29,1/50,400,2025:03:12 18:26:13
496,29,1/50,400,2025:03:12 18:26:20
497,32,1/80,400,2025:03:12 18:26:44
498,11,1/50,400,2025:03:12 18:27:10
499,11,1/50,400,2025:03:12 18:27:25
500,11,1/50,400,2025:03:12 18:27:47
501,11,1/50,400,2025:03:12 18:27:57
502,11,1/50,400,2025:03:12 18:28:17
503,11,1/50,400,2025:03:12 18:28:20
504,20,1/60,400,2025:03:12 18:28:48
505,20,1/60,400,2025:03:12 18:28:58
506,10,1/50,400,2025:03:12 18:29:43
507,10,1/50,400,2025:03:12 18:29:56
508,22,1/60,400,2025:03:12 18:30:28
509,28/5,1/40,400,2025:03:12 18:30:47
510,28/5,1/40,400,2025:03:12 18:31:19
511,71/10,1/40,400,2025:03:12 18:31:45
512,29,1/40,400,2025:03:12 18:32:13
513,16,1/40,400,2025:03:12 18:32:32
514,8,1/40,400,2025:03:12 18:32:57
515,9,1/40,400,2025:03:12 18:33:07
516,28/5,1/40,400,2025:03:12 18:33:23
517,5,1/30,400,2025:03:12 18:33:41
518,9,1/30,400,2025:03:12 18:34:07
519,9,1/30,400,2025:03:12 18:34:14
520,5,1/30,400,2025:03:12 18:34:36
521,5,1/30,400,2025:03:12 18:35:05
522,5,1/30,400,2025:03:12 18:35:21
523,5,1/30,400,2025:03:12 18:35:34
524,63/10,1/30,400,2025:03:12 18:36:37
525,22,1/30,400,2025:03:12 18:37:13
526,22,1/30,400,2025:03:12 18:37:58
527,25,1/80,400,2025:03:12 18:38:31
528,25,1/80,400,2025:03:12 18:39:48
529,63/10,1/80,400,2025:03:12 18:40:14
530,28/5,1/80,400,2025:03:12 18:40:53
531,28/5,1/80,400,2025:03:12 18:41:10
532,28/5,1/80,400,2025:03:12 18:41:23
533,28/5,1/80,400,2025:03:12 18:41:36
534,28/5,1/30,400,2025:03:12 18:42:11
