Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
155,13,1/30,3200,2025:02:19 16:52:43
156,13,1/30,320,2025:02:19 16:53:50
157,9,1/30,200,2025:02:19 16:54:11
158,13,1/30,125,2025:02:19 16:56:21
159,13,1/30,2000,2025:02:19 16:57:41
160,22,1/60,200,2025:02:19 17:01:50
161,22,1/60,400,2025:02:19 17:10:19
162,,,,
163,,,,
164,32,1/30,400,2025:02:19 17:11:34
165,32,1/30,400,2025:02:19 17:12:41
166,,,,
167,22,1/30,400,2025:02:19 17:15:08
168,14,1/25,400,2025:02:19 17:19:38
169,25,1/30,400,2025:02:19 17:21:07
170,16,1/25,400,2025:02:19 17:22:17
171,20,1/25,400,2025:02:19 17:22:45
172,36,1/60,1600,2025:02:19 17:23:25
173,36,1/60,100,2025:02:19 17:23:38
174,36,1/60,800,2025:02:19 17:23:47
175,16,1/60,800,2025:02:19 17:24:02
176,14,1/25,800,2025:02:19 17:27:09
177,20,1/30,800,2025:02:19 17:27:34
178,10,1/10,1600,2025:02:19 17:28:21
179,10,1/10,400,2025:02:19 17:29:07
180,29,1/40,400,2025:02:19 17:30:39
181,20,1/40,400,2025:02:19 17:31:55
182,9,1/15,400,2025:02:19 17:33:25
183,11,1/20,400,2025:02:19 17:33:42
184,11,1/20,400,2025:02:19 17:34:55
185,14,1/25,400,2025:02:19 17:35:15
186,11,1/25,400,2025:02:19 17:35:56
187,32,1/30,400,2025:02:19 17:56:21
188,32,1/200,400,2025:02:19 17:57:04
189,32,1/200,400,2025:02:19 17:57:14
190,32,1/200,400,2025:02:19 17:59:53
191,18,1/125,400,2025:02:19 18:00:13
192,25,1/125,400,2025:02:19 18:01:36
193,22,1/125,400,2025:02:19 18:02:58
194,20,1/100,400,2025:02:19 18:03:20
195,13,1/30,400,2025:02:19 18:05:12
196,18,1/25,400,2025:02:19 18:05:28
197,9,1/20,400,2025:02:19 18:07:36
198,20,1/20,400,2025:02:19 18:09:01
199,20,1/20,400,2025:02:19 18:09:07
200,5,1/10,400,2025:02:19 18:10:12
201,28/5,1/10,200,2025:02:19 18:10:32
202,28/5,1/8,200,2025:02:19 18:11:19
203,5,1/8,800,2025:02:19 18:11:57
204,5,1/10,400,2025:02:19 18:12:22
205,8,1/13,400,2025:02:19 18:13:48
206,71/10,1/13,100,2025:02:19 18:14:04
207,14,1/20,100,2025:02:19 18:15:31
208,14,1/20,100,2025:02:19 18:15:58
209,13,1/20,400,2025:02:19 18:17:17
210,18,1/20,400,2025:02:19 18:19:02
211,29,1/20,200,2025:02:19 18:20:44
212,22,1/20,200,2025:02:19 18:21:23
213,22,1/20,200,2025:02:19 18:22:45
214,14,1/20,200,2025:02:19 18:23:40
215,71/10,1/20,400,2025:02:19 18:24:03
216,25,1/200,400,2025:02:26 13:25:03
217,25,1/200,400,2025:02:26 13:33:24
218,29,1/200,400,2025:02:26 13:34:49
219,29,1/200,400,2025:02:26 13:36:40
220,14,1/125,400,2025:02:26 13:37:06
221,25,1/250,200,2025:02:26 13:39:28
222,29,1/160,400,2025:02:26 13:45:23
223,29,1/160,400,2025:02:26 13:47:06
224,29,1/320,400,2025:02:26 13:50:42
225,29,1/320,400,2025:02:26 13:54:09
226,25,1/200,400,2025:02:26 13:54:38
227,20,1/100,400,2025:02:26 13:55:38
228,25,1/100,400,2025:02:26 13:56:51
