Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
229,16,1/60,400,2025:02:26 17:37:36
230,16,1/60,400,2025:02:26 17:39:23
231,22,1/100,400,2025:02:26 17:40:32
232,18,1/80,400,2025:02:26 17:48:19
233,18,1/80,400,2025:02:26 17:49:21
234,25,1/80,400,2025:02:26 17:50:02
235,20,1/60,400,2025:02:26 17:51:41
236,13,1/30,400,2025:02:26 17:51:57
237,13,1/30,400,2025:02:26 17:52:26
238,25,1/100,400,2025:02:26 17:52:45
239,20,1/50,400,2025:02:26 17:53:00
240,18,1/40,400,2025:02:26 17:54:19
241,18,1/40,400,2025:02:26 17:54:35
242,9,1/30,400,2025:02:26 17:55:30
243,13,1/30,400,2025:02:26 17:55:52
244,63/10,1/25,800,2025:02:26 18:01:16
245,9,1/25,400,2025:02:26 18:02:39
246,28/5,1/30,400,2025:02:26 18:03:32
247,10,1/40,400,2025:02:26 18:04:44
248,28/5,1/30,400,2025:02:26 18:05:06
249,11,1/100,400,2025:02:26 18:05:48
250,11,1/40,400,2025:02:26 18:06:00
251,18,1/40,400,2025:02:26 18:07:11
252,18,1/40,400,2025:02:26 18:07:15
253,29,1/100,400,2025:02:26 18:08:39
254,18,1/60,400,2025:02:26 18:09:52
255,18,1/60,400,2025:02:26 18:10:15
256,10,1/60,400,2025:02:26 18:11:30
257,16,1/100,400,2025:02:26 18:12:33
258,63/10,1/50,400,2025:02:26 18:13:26
259,11,1/50,400,2025:02:26 18:13:49
260,28/5,1/25,1600,2025:02:26 18:15:09
261,28/5,1/40,1600,2025:02:26 18:15:27
262,28/5,1/13,400,2025:02:26 18:15:44
263,22,1/100,400,2025:02:26 18:16:31
264,10,1/15,400,2025:02:26 18:18:14
265,16,1/50,400,2025:02:26 18:19:45
266,11,1/25,400,2025:02:26 18:19:57
267,11,1/40,400,2025:02:26 18:21:50
268,25,1/100,400,2025:02:26 18:22:34
269,10,1/13,800,2025:02:26 18:24:29
270,28/5,1/8,800,2025:02:26 18:24:58
271,8,1/20,800,2025:02:26 18:25:28
272,25,1/80,800,2025:02:26 18:26:13
273,10,1/25,800,2025:02:26 18:26:37
274,28/5,1/20,800,2025:02:26 18:26:57
275,9,1/20,800,2025:02:26 18:28:56
276,13,1/20,800,2025:02:26 18:44:14
