Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
864,28/5,1/250,400,2025:04:09 16:08:48
865,71/10,1/320,400,2025:04:09 16:09:08
866,8,1/1600,400,2025:04:09 16:10:01
867,8,1/200,400,2025:04:09 16:10:58
868,63/10,1/200,400,2025:04:09 16:11:12
869,28/5,1/60,400,2025:04:09 16:11:32
870,28/5,1/640,400,2025:04:09 16:12:29
871,28/5,1/640,400,2025:04:09 16:12:32
872,28/5,1/640,400,2025:04:09 16:12:50
873,28/5,1/125,400,2025:04:09 16:13:41
874,28/5,1/320,400,2025:04:09 16:13:54
875,28/5,1/320,400,2025:04:09 16:14:45
876,28/5,1/500,400,2025:04:09 16:15:05
877,9,1/640,400,2025:04:09 16:15:24
878,9,1/250,400,2025:04:09 16:15:35
879,11,1/400,400,2025:04:09 16:16:45
880,28/5,1/200,400,2025:04:09 16:17:07
881,9/2,1/80,400,2025:04:09 16:17:15
882,63/10,1/200,400,2025:04:09 16:18:47
883,9,1/200,400,2025:04:09 16:19:06
884,28/5,1/100,400,2025:04:09 16:19:41
885,28/5,1/200,400,2025:04:09 16:19:53
886,71/10,1/200,400,2025:04:09 16:20:18
887,71/10,1/400,400,2025:04:09 16:20:21
888,10,1/640,400,2025:04:09 16:21:26
889,9,1/800,400,2025:04:09 16:21:36
890,71/10,1/640,400,2025:04:09 16:21:45
891,71/10,1/320,400,2025:04:09 16:22:05
892,71/10,1/320,400,2025:04:09 16:23:01
893,71/10,1/100,400,2025:04:09 16:23:19
894,10,1/400,400,2025:04:09 16:23:49
895,8,1/160,400,2025:04:09 16:24:22
896,11,1/160,400,2025:04:09 16:24:33
897,13,1/1000,400,2025:04:09 16:24:58
898,71/10,1/400,400,2025:04:09 16:25:12
899,8,1/500,400,2025:04:09 16:25:27
900,8,1/500,400,2025:04:09 16:25:43
901,9,1/125,400,2025:04:09 16:26:01
902,9,1/125,400,2025:04:09 16:26:18
903,71/10,1/80,400,2025:04:09 16:26:27
904,71/10,1/80,400,2025:04:09 16:26:45
905,71/10,1/80,400,2025:04:09 16:26:57
906,71/10,1/80,400,2025:04:09 16:27:15
907,9,1/160,400,2025:04:09 16:27:23
908,9,1/160,400,2025:04:09 16:27:37
909,8,1/100,400,2025:04:09 16:27:47
910,28/5,1/100,400,2025:04:09 16:28:13
911,8,1/100,400,2025:04:09 16:29:21
912,10,1/250,400,2025:04:09 16:29:31
913,8,1/200,400,2025:04:09 16:29:40
914,4,1/200,400,2025:04:09 16:30:07
915,28/5,1/200,400,2025:04:09 16:30:31
916,28/5,1/200,400,2025:04:09 16:30:47
917,28/5,1/200,400,2025:04:09 16:30:59
918,16,1/200,400,2025:04:09 16:31:25
919,16,1/200,400,2025:04:09 16:31:53
920,28/5,1/200,400,2025:04:09 16:32:01
921,28/5,1/80,400,2025:04:09 16:32:08
922,28/5,1/80,400,2025:04:09 16:32:49
923,10,1/500,400,2025:04:09 16:33:03
924,20,1/250,400,2025:04:09 16:33:12
925,5,1/80,400,2025:04:09 16:33:29
926,5,1/80,400,2025:04:09 16:33:32
927,28/5,1/80,400,2025:04:09 16:33:42
928,8,1/200,400,2025:04:09 16:33:52
929,8,1/200,400,2025:04:09 16:33:55
930,28/5,1/200,400,2025:04:09 16:34:18
931,25,1/200,400,2025:04:09 16:34:39
932,16,1/160,400,2025:04:09 16:34:47
933,16,1/160,400,2025:04:09 16:35:20
934,11,1/160,400,2025:04:09 16:35:32
935,11,1/160,400,2025:04:09 16:35:37
936,11,1/160,400,2025:04:09 16:35:57
937,11,1/160,400,2025:04:09 16:36:07
938,11,1/160,400,2025:04:09 16:36:15
939,9,1/125,400,2025:04:09 16:36:25
940,9,1/125,400,2025:04:09 16:36:30
941,9,1/125,400,2025:04:09 16:36:56
942,9,1/125,400,2025:04:09 16:37:11
943,13,1/160,400,2025:04:09 16:37:21
944,9,1/160,400,2025:04:09 16:38:02
945,9,1/160,400,2025:04:09 16:38:23
946,14,1/160,400,2025:04:09 16:38:50
947,14,1/160,400,2025:04:09 16:39:07
948,8,1/160,400,2025:04:09 16:39:20
949,71/10,1/160,400,2025:04:09 16:39:35
950,63/10,1/160,400,2025:04:09 16:40:11
951,63/10,1/160,400,2025:04:09 16:40:13
952,9,1/160,400,2025:04:09 16:40:22
953,9,1/160,400,2025:04:09 16:40:27
954,11,1/200,400,2025:04:09 16:40:53
955,11,1/200,400,2025:04:09 16:41:22
956,9,1/200,400,2025:04:09 16:41:29
957,9,1/200,400,2025:04:09 16:42:07
958,11,1/200,400,2025:04:09 16:42:15
959,8,1/125,400,2025:04:09 16:43:07
960,63/10,1/100,400,2025:04:09 16:43:15
961,63/10,1/100,400,2025:04:09 16:43:26
962,16,1/100,400,2025:04:09 16:43:47
963,16,1/100,400,2025:04:09 16:43:53
964,16,1/100,400,2025:04:09 16:44:20
965,18,1/160,400,2025:04:09 16:44:39
966,14,1/160,400,2025:04:09 16:44:50
967,10,1/160,400,2025:04:09 16:45:19
968,10,1/160,400,2025:04:09 16:45:22
969,10,1/160,400,2025:04:09 16:46:00
