Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
970,9,1/160,400,2025:04:09 16:46:19
971,9,1/160,400,2025:04:09 16:46:25
972,71/10,1/160,400,2025:04:09 16:46:31
973,71/10,1/160,400,2025:04:09 16:47:00
974,71/10,1/160,400,2025:04:09 16:47:24
975,71/10,1/160,400,2025:04:09 16:47:37
976,5,1/80,400,2025:04:09 16:48:11
977,71/10,1/80,400,2025:04:09 16:48:31
978,71/10,1/80,400,2025:04:09 16:48:42
979,9,1/800,400,2025:04:09 16:49:20
980,9,1/800,400,2025:04:09 16:49:40
981,9,1/800,400,2025:04:09 16:49:45
982,63/10,1/800,400,2025:04:09 16:50:42
983,63/10,1/320,400,2025:04:09 16:50:48
984,63/10,1/320,400,2025:04:09 16:50:50
985,8,1/800,400,2025:04:09 16:51:05
986,8,1/800,400,2025:04:09 16:51:18
987,8,1/800,400,2025:04:09 16:51:30
988,63/10,1/400,400,2025:04:09 16:51:43
989,63/10,1/1000,400,2025:04:09 16:52:05
990,71/10,1/125,400,2025:04:09 16:52:27
991,71/10,1/1250,400,2025:04:09 16:52:45
992,71/10,1/1250,400,2025:04:09 16:53:02
993,71/10,1/1250,400,2025:04:09 16:53:26
994,71/10,1/200,400,2025:04:09 16:53:33
995,71/10,1/60,400,2025:04:09 16:54:00
996,28/5,1/125,400,2025:04:09 16:54:10
997,28/5,1/125,400,2025:04:09 16:54:28
998,28/5,1/125,400,2025:04:09 16:54:43
999,5,1/125,400,2025:04:09 16:55:40
1000,5,1/100,400,2025:04:09 16:55:46
1001,5,1/100,400,2025:04:09 16:56:26
1002,5,1/100,400,2025:04:09 16:56:26
1003,5,1/100,400,2025:04:09 16:56:27
1004,5,1/100,400,2025:04:09 16:56:28
1005,5,1/100,400,2025:04:09 16:56:30
1006,5,1/100,400,2025:04:09 16:56:32
1007,5,1/100,400,2025:04:09 16:56:33
1008,5,1/100,400,2025:04:09 16:56:34
1009,28/5,1/1000,400,2025:04:09 16:57:01
1010,28/5,1/1000,400,2025:04:09 16:57:20
1011,28/5,1/400,400,2025:04:09 16:57:46
1012,28/5,1/400,400,2025:04:09 16:57:55
1013,28/5,1/400,400,2025:04:09 16:58:20
1014,28/5,1/400,400,2025:04:09 16:58:35
1015,28/5,1/400,400,2025:04:09 16:58:46
1016,28/5,1/400,400,2025:04:09 16:58:57
1017,28/5,1/400,400,2025:04:09 16:59:13
1018,28/5,1/125,400,2025:04:09 16:59:19
1019,28/5,1/125,400,2025:04:09 16:59:37
1020,5,1/125,400,2025:04:09 17:00:06
1021,5,1/1600,400,2025:04:09 17:00:22
1022,5,1/1000,400,2025:04:09 17:00:27
1023,5,1/1000,400,2025:04:09 17:00:58
1024,5,1/1000,400,2025:04:09 17:01:00
1025,28/5,1/250,400,2025:04:09 17:01:35
1026,28/5,1/40,400,2025:04:09 17:01:45
1027,28/5,1/1250,400,2025:04:09 17:01:57
1028,28/5,1/1250,400,2025:04:09 17:02:01
1029,5,1/640,400,2025:04:09 17:02:17
1030,5,1/640,400,2025:04:09 17:02:25
1031,5,1/640,400,2025:04:09 17:02:42
1032,5,1/400,400,2025:04:09 17:02:47
1033,5,1/400,400,2025:04:09 17:02:48
1034,5,1/800,400,2025:04:09 17:03:18
1035,5,1/400,400,2025:04:09 17:03:33
1036,5,1/400,400,2025:04:09 17:03:55
1037,5,1/800,400,2025:04:09 17:04:02
1038,5,1/1000,400,2025:04:09 17:04:03
1039,5,1/100,400,2025:04:09 17:04:22
1040,5,1/100,400,2025:04:09 17:04:38
1041,5,1/400,400,2025:04:09 17:04:42
1042,5,1/500,400,2025:04:09 17:04:45
1043,5,1/500,400,2025:04:09 17:04:57
1044,5,1/250,400,2025:04:09 17:05:05
1045,5,1/160,400,2025:04:09 17:05:16
1046,5,1/160,400,2025:04:09 17:05:28
1047,5,1/160,400,2025:04:09 17:05:50
1048,5,1/200,400,2025:04:09 17:06:00
1049,5,1/2500,400,2025:04:09 17:06:15
1050,28/5,1/125,400,2025:04:09 17:06:35
1051,28/5,1/200,400,2025:04:09 17:06:41
1052,28/5,1/1250,400,2025:04:09 17:06:53
1053,5,1/1250,400,2025:04:09 17:06:57
1054,28/5,1/1250,400,2025:04:09 17:07:20
1055,5,1/1250,400,2025:04:09 17:07:40
1056,5,1/125,400,2025:04:09 17:07:53
1057,5,1/125,400,2025:04:09 17:07:55
1058,5,1/125,400,2025:04:09 17:08:04
1059,5,1/25,400,2025:04:09 17:08:19
1060,5,1/125,400,2025:04:09 17:08:49
1061,28/5,1/125,400,2025:04:09 17:09:02
1062,28/5,1/125,400,2025:04:09 17:09:23
1063,5,1/125,400,2025:04:09 17:09:41
1064,28/5,1/200,400,2025:04:09 17:10:00
1065,28/5,1/200,400,2025:04:09 17:10:15
1066,5,1/200,400,2025:04:09 17:10:26
1067,5,1/160,400,2025:04:09 17:10:32
1068,28/5,1/400,400,2025:04:09 17:11:07
1069,5,1/400,400,2025:04:09 17:11:26
1070,5,1/320,400,2025:04:09 17:11:36
1071,5,1/640,400,2025:04:09 17:11:38
1072,28/5,1/640,400,2025:04:09 17:11:49
1073,28/5,1/200,400,2025:04:09 17:12:14
1074,28/5,1/200,400,2025:04:09 17:12:25
1075,28/5,1/200,400,2025:04:09 17:12:34
1076,28/5,1/400,400,2025:04:09 17:12:43
1077,28/5,1/40,400,2025:04:09 17:13:22
1078,28/5,1/500,400,2025:04:09 17:14:21
1079,28/5,1/640,400,2025:04:09 17:14:23
1080,28/5,1/500,400,2025:04:09 17:14:35
1081,28/5,1/200,400,2025:04:09 17:14:56
1082,28/5,1/200,400,2025:04:09 17:15:19
1083,28/5,1/30,400,2025:04:09 17:15:30
1084,28/5,1/20,400,2025:04:09 17:16:40
1085,28/5,1/100,400,2025:04:09 17:16:48
1086,28/5,1/80,400,2025:04:09 17:17:43
1087,28/5,1/30,400,2025:04:09 17:17:54
1088,28/5,1/50,400,2025:04:09 17:18:02
1089,28/5,1/50,400,2025:04:09 17:18:37
1090,28/5,1/10,400,2025:04:09 17:18:58
1091,28/5,1/30,400,2025:04:09 17:19:13
1092,28/5,1/200,400,2025:04:09 17:19:30
1093,28/5,1/200,400,2025:04:09 17:19:57
1094,28/5,1/200,400,2025:04:09 17:19:59
1095,28/5,1/200,400,2025:04:09 17:20:01
1096,28/5,1/800,400,2025:04:09 17:20:23
1097,28/5,1/500,1600,2025:04:09 17:21:39
1098,28/5,1/100,1600,2025:04:09 17:21:54
1099,28/5,1/100,1600,2025:04:09 17:21:56
1100,28/5,1/160,1600,2025:04:09 17:22:24
1101,63/10,1/160,1600,2025:04:09 17:22:31
1102,63/10,1/800,1600,2025:04:09 17:23:09
1103,63/10,1/60,1600,2025:04:09 17:23:27
1104,63/10,1/30,1600,2025:04:09 17:23:40
1105,63/10,1/640,1600,2025:04:09 17:23:51
1106,63/10,1/1000,1600,2025:04:09 17:23:57
1107,63/10,1/4000,1600,2025:04:09 17:24:10
1108,63/10,1/200,1600,2025:04:09 17:24:35
1109,63/10,1/400,1600,2025:04:09 17:25:02
1110,63/10,1/400,400,2025:04:09 17:25:12
1111,63/10,1/400,400,2025:04:09 17:25:16
1112,63/10,1/400,400,2025:04:09 17:25:31
1113,28/5,1/60,400,2025:04:09 17:25:44
1114,28/5,1/20,800,2025:04:09 17:26:04
1115,28/5,1/100,800,2025:04:09 17:26:21
1116,28/5,1/160,800,2025:04:09 17:26:28
1117,28/5,1/160,800,2025:04:09 17:26:40
1118,28/5,1/200,800,2025:04:09 17:27:05
1119,71/10,1/160,800,2025:04:09 17:27:14
1120,71/10,1/100,800,2025:04:09 17:27:47
1121,71/10,1/60,800,2025:04:09 17:28:13
1122,71/10,1/40,800,2025:04:09 17:28:24
1123,71/10,1/40,800,2025:04:09 17:28:41
1124,71/10,1/40,1600,2025:04:09 17:28:59
1125,71/10,1/40,1600,2025:04:09 17:29:08
1126,71/10,1/400,1600,2025:04:09 17:29:30
1127,28/5,1/25,1600,2025:04:09 17:29:56
1128,28/5,1/25,1600,2025:04:09 17:29:57
1129,28/5,1/25,1600,2025:04:09 17:30:02
1130,28/5,1/25,1600,2025:04:09 17:30:18
1131,28/5,1/125,1600,2025:04:09 17:30:26
1132,28/5,1/125,1600,2025:04:09 17:31:03
1133,28/5,1/50,1600,2025:04:09 17:31:21
1134,28/5,1/160,1600,2025:04:09 17:31:37
1135,28/5,1/160,1600,2025:04:09 17:31:46
1136,28/5,1/60,1600,2025:04:09 17:32:22
1137,28/5,1/25,1600,2025:04:09 17:32:44
1138,28/5,1/20,1600,2025:04:09 17:32:59
1139,28/5,1/20,1600,2025:04:09 17:33:17
1140,28/5,1/80,1600,2025:04:09 17:34:05
1141,28/5,1/80,1600,2025:04:09 17:34:25
1142,28/5,1/160,1600,2025:04:09 17:34:33
1143,28/5,1/160,1600,2025:04:09 17:34:47
1144,28/5,1/40,1600,2025:04:09 17:35:08
1145,28/5,1/30,1600,2025:04:09 17:35:16
1146,28/5,1/30,1600,2025:04:09 17:35:31
1147,28/5,1/200,1600,2025:04:09 17:35:48
1148,28/5,1/320,1600,2025:04:09 17:35:58
1149,28/5,1/320,1600,2025:04:09 17:36:27
1150,28/5,1/100,1600,2025:04:09 17:36:35
1151,28/5,1/100,1600,2025:04:09 17:36:49
1152,28/5,1/100,1600,2025:04:09 17:37:07
1153,28/5,1/125,1600,2025:04:09 17:37:24
1154,28/5,1/125,1600,2025:04:09 17:37:33
1155,28/5,1/500,1600,2025:04:09 17:38:06
1156,28/5,1/160,1600,2025:04:09 17:38:21
1157,28/5,1/60,1600,2025:04:09 17:38:52
1158,28/5,1/60,1600,2025:04:09 17:39:15
1159,28/5,1/60,1600,2025:04:09 17:39:29
1160,28/5,1/25,1600,2025:04:09 17:39:45
1161,28/5,1/15,800,2025:04:09 17:39:58
1162,28/5,1/15,800,2025:04:09 17:40:36
1163,28/5,1/8,800,2025:04:09 17:40:58
1164,28/5,1/8,800,2025:04:09 17:41:15
1165,28/5,1/20,800,2025:04:09 17:41:24
1166,28/5,1/20,800,2025:04:09 17:41:55
1167,28/5,1/20,1600,2025:04:09 17:42:07
1168,28/5,1/20,1600,2025:04:09 17:42:19
1169,28/5,1/20,1600,2025:04:09 17:42:54
1170,28/5,1/400,400,2025:04:09 17:43:41
1171,28/5,1/250,400,2025:04:09 17:43:49
1172,28/5,1/160,400,2025:04:09 17:44:09
1173,28/5,1/100,400,2025:04:09 17:44:14
1174,28/5,1/100,400,2025:04:09 17:44:53
1175,28/5,1/20,1600,2025:04:09 17:45:04
1176,28/5,1/20,1600,2025:04:09 17:45:54
1177,28/5,1/100,1600,2025:04:09 17:46:07
1178,28/5,1/100,1600,2025:04:09 17:47:13
1179,28/5,1/125,1600,2025:04:09 17:47:25
1180,28/5,1/160,1600,2025:04:09 17:47:50
1181,28/5,1/100,1600,2025:04:09 17:48:00
1182,28/5,1/60,400,2025:04:09 17:48:16
1183,28/5,1/60,400,2025:04:09 17:48:35
1184,28/5,1/30,1600,2025:04:09 17:48:56
1185,28/5,1/30,1600,2025:04:09 17:49:02
1186,28/5,1/13,1600,2025:04:09 17:49:42
1187,28/5,1/20,1600,2025:04:09 17:49:48
1188,28/5,1/20,1600,2025:04:09 17:49:59
1189,28/5,1/20,1600,2025:04:09 17:50:32
1190,28/5,1/30,1600,2025:04:09 17:51:02
1191,28/5,1/30,1600,2025:04:09 17:51:11
1192,28/5,1/30,1600,2025:04:09 17:51:16
1193,28/5,1/30,1600,2025:04:09 17:51:22
1194,28/5,1/30,1600,2025:04:09 17:51:43
1195,28/5,1/30,1600,2025:04:09 17:51:53
1196,28/5,1/30,1600,2025:04:09 17:52:00
1197,28/5,1/30,1600,2025:04:09 17:52:22
1198,28/5,1/80,1600,2025:04:09 17:52:37
1199,28/5,1/160,1600,2025:04:09 17:52:56
1200,28/5,1/250,1600,2025:04:09 17:53:12
1201,28/5,1/250,1600,2025:04:09 17:53:29
1202,28/5,1/160,1600,2025:04:09 17:53:46
1203,28/5,1/50,1600,2025:04:09 17:54:30
