Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
71,28/5,1/6,100,2025:02:12 17:13:01
72,36,1/100,800,2025:02:12 17:13:53
73,36,1/4000,3200,2025:02:12 17:14:16
74,36,1/4000,3200,2025:02:12 17:18:52
75,36,1/500,3200,2025:02:12 17:19:27
76,20,1/125,2500,2025:02:12 17:19:45
77,28/5,1/8,100,2025:02:12 17:20:45
78,63/10,1/8,100,2025:02:12 17:23:13
79,13,1/20,125,2025:02:12 17:23:46
80,18,1/1600,3200,2025:02:12 17:24:29
81,25,1/1250,3200,2025:02:12 17:26:32
82,10,1/80,160,2025:02:12 17:26:59
83,63/10,1/13,100,2025:02:12 17:27:42
84,63/10,1/20,100,2025:02:12 17:31:33
85,22,1/20,250,2025:02:12 17:32:03
86,36,1/1600,3200,2025:02:12 17:32:27
87,36,1/4000,3200,2025:02:12 17:34:40
88,22,1/100,160,2025:02:12 17:35:06
89,71/10,1/8,100,2025:02:12 17:35:36
90,18,1/20,100,2025:02:12 17:36:12
91,14,1/8,100,2025:02:12 17:38:18
92,22,1/50,200,2025:02:12 17:38:44
93,36,1/2000,3200,2025:02:12 17:39:07
94,36,1/2000,3200,2025:02:12 17:41:02
95,18,1/125,320,2025:02:12 17:41:28
96,28/5,1/8,100,2025:02:12 17:41:59
97,8,1/25,100,2025:02:12 17:42:20
98,8,1/25,100,2025:02:12 17:43:27
99,22,1/30,400,2025:02:12 17:47:26
100,36,1/2500,3200,2025:02:12 17:47:54
101,36,1/1000,3200,2025:02:12 17:48:14
102,36,1/3200,3200,2025:02:12 17:52:08
103,25,1/125,500,2025:02:12 17:52:58
104,13,1/20,100,2025:02:12 17:54:36
105,13,1/10,100,2025:02:12 17:56:39
106,22,1/25,200,2025:02:12 17:57:00
107,36,1/1600,3200,2025:02:12 17:57:28
108,29,1/320,3200,2025:02:12 18:02:01
109,18,1/80,2500,2025:02:12 18:03:15
110,,,,
111,28/5,1/6,100,2025:02:12 18:04:03
112,28/5,1/5,100,2025:02:12 18:06:00
113,9,1/20,200,2025:02:12 18:06:25
114,29,1/400,3200,2025:02:12 18:06:53
115,20,1/400,3200,2025:02:12 18:09:15
116,14,1/60,2500,2025:02:12 18:09:41
117,28/5,1/4,100,2025:02:12 18:10:21
118,,,,
119,28/5,1/8,100,2025:02:12 18:12:26
120,10,1/15,100,2025:02:12 18:12:59
121,32,1/400,3200,2025:02:12 18:13:28
122,36,1/4000,3200,2025:02:12 18:15:24
123,18,1/100,200,2025:02:12 18:16:02
124,16,1/13,100,2025:02:12 18:16:30
125,16,1/13,100,2025:02:12 18:17:34
126,32,1/125,500,2025:02:12 18:18:07
127,25,1/4000,3200,2025:02:12 18:18:40
128,29,1/2000,3200,2025:02:12 18:20:25
129,29,1/640,3200,2025:02:12 18:20:43
130,13,1/13,100,2025:02:12 18:21:44
131,71/10,1/13,100,2025:02:12 18:23:06
132,25,1/80,160,2025:02:12 18:23:34
133,36,1/3200,3200,2025:02:12 18:24:55
134,18,1/1250,3200,2025:02:12 18:26:27
135,14,1/100,1250,2025:02:12 18:27:22
136,28/5,1/8,100,2025:02:12 18:27:49
137,28/5,1/13,100,2025:02:12 18:30:29
138,8,1/125,500,2025:02:12 18:30:52
139,22,1/1250,3200,2025:02:12 18:31:39
140,29,1/1000,3200,2025:02:12 18:34:05
141,14,1/125,800,2025:02:12 18:34:24
142,28/5,1/15,100,2025:02:12 18:34:41
143,28/5,1/6,100,2025:02:12 18:35:58
144,16,1/100,2500,2025:02:12 18:36:54
145,36,1/200,3200,2025:02:12 18:37:13
146,36,1/3200,3200,2025:02:12 18:38:07
147,25,1/400,1250,2025:02:12 18:38:22
148,9,1/25,100,2025:02:12 18:38:41
149,16,1/25,100,2025:02:12 18:40:17
150,29,1/200,320,2025:02:12 18:40:34
151,36,1/4000,3200,2025:02:12 18:41:07
152,22,1/500,3200,2025:02:12 18:42:15
153,20,1/125,2500,2025:02:12 18:42:32
154,28/5,1/10,100,2025:02:12 18:42:58
