Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
709,63/10,1/80,400,2025:03:26 23:47:25
710,63/10,1/80,400,2025:03:26 23:47:58
711,63/10,1/80,400,2025:03:26 23:48:40
712,71/10,1/80,400,2025:03:26 23:49:38
713,63/10,1/80,400,2025:03:26 23:50:58
714,63/10,1/80,400,2025:03:26 23:53:03
715,63/10,1/80,400,2025:03:26 23:53:25
716,63/10,1/80,400,2025:03:26 23:53:32
717,28/5,1/80,400,2025:03:26 23:53:44
718,18,1/80,400,2025:03:27 00:05:05
719,22,1/80,400,2025:03:27 00:05:37
720,22,1/80,400,2025:03:27 00:05:58
721,18,1/80,400,2025:03:27 00:06:56
722,18,1/80,400,2025:03:27 00:07:04
723,9,1/80,400,2025:03:27 00:10:19
724,9,1/80,400,2025:03:27 00:10:25
725,9,1/80,400,2025:03:27 00:10:32
726,9,1/80,400,2025:03:27 00:12:07
727,9,1/80,400,2025:03:27 00:12:23
728,9,1/80,400,2025:03:27 00:15:38
729,9,1/80,400,2025:03:27 00:15:47
730,9/2,1/50,400,2025:03:27 00:19:59
731,9/2,1/50,400,2025:03:27 00:20:52
732,5,1/50,400,2025:03:27 00:21:06
733,9/2,1/50,400,2025:03:27 00:21:19
734,9/2,1/50,400,2025:03:27 00:21:44
735,9/2,1/50,400,2025:03:27 00:22:19
736,5,1/50,400,2025:03:27 00:22:34
737,9/2,1/50,400,2025:03:27 00:23:26
738,28/5,1/50,400,2025:03:27 00:23:49
739,28/5,1/50,400,2025:03:27 00:30:06
740,10,1/50,400,2025:03:27 00:31:58
741,10,1/50,400,2025:03:27 00:32:37
742,10,1/50,400,2025:03:27 00:33:12
743,10,1/50,400,2025:03:27 00:33:27
744,10,1/50,400,2025:03:27 00:33:35
